统计结果:
共计单词:102248个,不重复单词：8123个

单词			出现次数			概率
email		1380			1.349%
order		1159			1.133%
report		1053			1.029%
our		965			0.943%
address		954			0.933%
mail		923			0.902%
program		828			0.809%
send		800			0.782%
free		744			0.727%
money		722			0.706%
list		713			0.697%
receive		662			0.647%
name		627			0.613%
business		608			0.594%
one		553			0.54%
work		528			0.516%
com		524			0.512%
internet		501			0.489%
http		467			0.456%
day		451			0.441%
please		447			0.437%
over		431			0.421%
information		425			0.415%
web		398			0.389%
check		389			0.38%
site		366			0.357%
market		364			0.355%
want		364			0.355%
each		354			0.346%
follow		333			0.325%
start		332			0.324%
need		327			0.319%
product		319			0.311%
remove		316			0.309%
credit		313			0.306%
offer		305			0.298%
week		303			0.296%
call		302			0.295%
service		299			0.292%
here		292			0.285%
bulk		290			0.283%
link		289			0.282%
every		286			0.279%
software		286			0.279%
letter		279			0.272%
include		276			0.269%
million		269			0.263%
many		264			0.258%
best		255			0.249%
read		254			0.248%
first		251			0.245%
sell		247			0.241%
home		244			0.238%
www		244			0.238%
number		240			0.234%
cost		239			0.233%
much		234			0.228%
most		233			0.227%
fax		232			0.226%
card		231			0.225%
even		231			0.225%
those		231			0.225%
pay		220			0.215%
directory		217			0.212%
win		217			0.212%
opportunity		214			0.209%
company		208			0.203%
income		207			0.202%
own		207			0.202%
phone		205			0.2%
hour		204			0.199%
advertise		203			0.198%
message		202			0.197%
click		201			0.196%
place		201			0.196%
computer		199			0.194%
help		197			0.192%
below		196			0.191%
nbsp		196			0.191%
within		192			0.187%
must		188			0.183%
state		188			0.183%
today		188			0.183%
easy		185			0.18%
show		184			0.179%
ffa		183			0.178%
cash		181			0.177%
file		181			0.177%
month		180			0.176%
save		178			0.174%
world		177			0.173%
after		176			0.172%
interest		176			0.172%
back		174			0.17%
price		172			0.168%
try		171			0.167%
live		170			0.166%
per		170			0.166%
before		169			0.165%
right		169			0.165%
financial		165			0.161%
net		164			0.16%
online		164			0.16%
great		163			0.159%
form		162			0.158%
search		161			0.157%
copy		160			0.156%
through		160			0.156%
buy		159			0.155%
add		157			0.153%
down		156			0.152%
line		156			0.152%
dollar		155			0.151%
special		155			0.151%
capitalfm		154			0.15%
available		152			0.148%
tell		152			0.148%
where		151			0.147%
life		148			0.144%
off		148			0.144%
little		147			0.143%
package		147			0.143%
ever		146			0.142%
success		146			0.142%
step		143			0.139%
participate		141			0.137%
member		140			0.136%
never		140			0.136%
simple		139			0.135%
sure		139			0.135%
thank		139			0.135%
two		139			0.135%
sale		138			0.134%
guarantee		136			0.133%
thousand		136			0.133%
again		135			0.132%
next		135			0.132%
box		134			0.131%
four		132			0.129%
let		130			0.127%
level		130			0.127%
really		129			0.126%
system		129			0.126%
keep		128			0.125%
few		127			0.124%
provide		127			0.124%
purchase		127			0.124%
response		127			0.124%
subject		127			0.124%
reply		126			0.123%
instruction		125			0.122%
put		125			0.122%
question		125			0.122%
ship		125			0.122%
legal		122			0.119%
type		122			0.119%
earn		121			0.118%
same		121			0.118%
visit		121			0.118%
return		120			0.117%
under		120			0.117%
method		119			0.116%
change		118			0.115%
multilevel		118			0.115%
simply		118			0.115%
anyone		116			0.113%
move		115			0.112%
page		115			0.112%
different		114			0.111%
everyone		114			0.111%
thing		113			0.11%
write		113			0.11%
future		112			0.109%
plus		112			0.109%
remember		112			0.109%
request		112			0.109%
advertisement		111			0.108%
bill		111			0.108%
friend		111			0.108%
total		110			0.107%
rate		109			0.106%
bank		108			0.105%
once		108			0.105%
until		108			0.105%
result		107			0.104%
personal		105			0.102%
etc		104			0.101%
wish		104			0.101%
important		103			0.1%
part		103			0.1%
ask		102			0.099%
full		102			0.099%
several		102			0.099%
complete		101			0.098%
floodgate		101			0.098%
video		101			0.098%
learn		100			0.097%
nothing		100			0.097%
require		100			0.097%
allow		99			0.096%
game		99			0.096%
lot		99			0.096%
bonus		98			0.095%
date		98			0.095%
guide		98			0.095%
investment		98			0.095%
least		98			0.095%
secret		98			0.095%
without		98			0.095%
already		97			0.094%
contact		97			0.094%
join		97			0.094%
less		97			0.094%
why		97			0.094%
city		96			0.093%
amount		95			0.092%
customer		95			0.092%
code		94			0.091%
print		94			0.091%
adult		93			0.09%
aol		93			0.09%
book		93			0.09%
decide		93			0.09%
experience		93			0.09%
family		93			0.09%
plan		93			0.09%
course		92			0.089%
account		91			0.088%
office		91			0.088%
profit		91			0.088%
are		90			0.088%
job		90			0.088%
lose		90			0.088%
server		90			0.088%
mailing		89			0.087%
run		89			0.087%
tax		89			0.087%
another		88			0.086%
payment		87			0.085%
yourself		87			0.085%
answer		86			0.084%
believe		85			0.083%
manual		84			0.082%
alway		83			0.081%
become		83			0.081%
major		83			0.081%
note		83			0.081%
top		83			0.081%
vium		83			0.081%
anywhere		82			0.08%
better		82			0.08%
links		82			0.08%
build		81			0.079%
real		81			0.079%
reports		81			0.079%
engine		80			0.078%
above		79			0.077%
capital		79			0.077%
too		79			0.077%
exactly		78			0.076%
wait		78			0.076%
envelope		77			0.075%
music		77			0.075%
support		77			0.075%
access		76			0.074%
away		75			0.073%
generate		75			0.073%
while		75			0.073%
person		74			0.072%
process		74			0.072%
charge		73			0.071%
set		73			0.071%
choose		72			0.07%
create		72			0.07%
immediately		72			0.07%
offshore		72			0.07%
record		72			0.07%
additional		71			0.069%
everything		71			0.069%
hundred		71			0.069%
international		71			0.069%
latest		71			0.069%
orders		71			0.069%
yours		71			0.069%
chance		70			0.068%
debt		70			0.068%
dream		70			0.068%
advantage		69			0.067%
continue		69			0.067%
delete		69			0.067%
fill		69			0.067%
judgment		69			0.067%
ready		69			0.067%
security		69			0.067%
sound		69			0.067%
still		69			0.067%
hard		68			0.066%
limit		68			0.066%
single		68			0.066%
spend		68			0.066%
able		67			0.065%
enter		67			0.065%
small		67			0.065%
website		67			0.065%
detail		66			0.064%
group		66			0.064%
risk		66			0.064%
technology		66			0.064%
accept		65			0.063%
assume		65			0.063%
big		65			0.063%
leave		65			0.063%
car		64			0.062%
extra		64			0.062%
fun		64			0.062%
happen		64			0.062%
html		64			0.062%
long		64			0.062%
minute		64			0.062%
visa		64			0.062%
download		63			0.061%
fee		63			0.061%
hit		63			0.061%
inc		63			0.061%
pass		63			0.061%
base		62			0.06%
problem		62			0.06%
soon		62			0.06%
figure		61			0.059%
hand		61			0.059%
share		61			0.059%
since		61			0.059%
talk		61			0.059%
target		61			0.059%
turn		61			0.059%
word		61			0.059%
reach		60			0.058%
sign		60			0.058%
true		60			0.058%
